0,T,0.3301849,0.3597717
0,T,1.354706,6.791855
0,T,2.918488,11.52553
0,T,1.793869,13.62508
0,T,3.221329,16.93839
0,T,0.1456451,17.58862
0,T,0.7759552,18.70026
0,T,2.527802,21.5271
0,T,5.082993,30.10376
0,T,0.1789246,30.29449
0,T,3.779053,42.93793
0,T,2.084137,46.40883
0,T,0.2100677,47.08682
0,T,0.2946472,48.21864
0,T,0.1516113,48.91064
0,T,0.1687012,49.14604
0,T,2.905716,53.9008
0,T,1.728912,56.40218
0,T,0.1365967,56.56651
0,T,0.7964478,57.94232
S,1
1,T,0.6889343,58.81801
1,T,1.614166,62.75961
1,T,1.91333,64.9035
1,T,0.9974365,66.0863
1,T,1.177856,67.52457
1,T,0.9795227,68.79398
1,T,0.6153564,69.63348
1,T,1.137177,74.02039
1,T,1.731384,76.37555
1,T,0.8577271,81.72571
1,T,0.4042053,100.4206
1,T,1.379333,102.304
1,T,0.7641602,103.3967
1,T,1.706177,107.5712
1,T,0.9874268,109.5665
1,T,0.8066406,110.4366
1,T,0.1166687,110.9258
1,T,2.75824,114.2014
1,T,2.633972,118.5996
1,T,0.6799622,120.0602
1,T,1.824951,122.7016
1,T,1.43222,125.0782
1,T,0.6447449,127.2207
1,T,0.4978027,128.2552
1,T,0.2876892,130.8963
1,T,2.784576,133.8121
1,T,0.4638062,134.3446
1,T,1.526917,135.9014
1,T,0.03363037,140.8473
1,T,3.574585,148.9845
1,T,2.534424,153.0279
