Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
547.7761,-1.868617,0.8474471,2.736768,0.6310068,0.06875852,0.2106588,0.7434551,0.2344864,0.02203142,0.9408752,-0.06239333,0.3322281,0,0,0,0,195.6287,220.5231,225.3387,239.8114,231.1354,224.8866,217.8311,251.2485,0,1,0,0,0,6.191272E-09,1.946799E-08,2.624565E-09,1,1,0,0,0,1,1,1,0,0,0,0.000000004,2.484068E-08,3.671074E-09,1,1,0,0,0,1,2,1,0,0,0,4.067689E-09,2.316155E-08,0.000000003,1,1,0,0,0,1
547.8257,-1.868618,0.8474471,2.736768,0.6243953,0.06889457,0.2368126,0.7411505,0.2344864,0.02209766,0.9410335,-0.06268735,0.3317199,0,0,0,0,171.8165,193.6796,197.9074,210.6092,202.9846,197.494,191.2927,220.6339,0,1,0,0,0,-0.001571632,-0.01764233,0.02046931,0.9996336,1,0,0,0,1,1,1,0,0,0,-0.000000019,-7.212706E-08,-4.359021E-09,1,1,0,0,0,1,2,1,0,0,0,-1.490588E-08,-5.335699E-08,-0.000000004,1,1,0,0,0,1
547.8759,-1.868618,0.8474471,2.736768,0.6145201,0.06837558,0.2538271,0.7438156,0.2344864,0.02214874,0.9411559,-0.06291514,0.331326,0,0,0,0,171.9865,193.86,198.0773,210.7503,203.0952,197.593,191.3703,220.7145,0,1,0,0,0,-0.007719282,-0.0135299,0.01231456,0.9998028,1,0,0,0,1,1,1,0,0,0,-3.010799E-08,-7.043903E-08,-2.25712E-09,1,1,0,0,0,1,2,1,0,0,0,-2.690852E-08,-4.262259E-08,-0.000000001,1,1,0,0,0,1
547.926,-1.868618,0.8474471,2.736768,0.6090484,0.07097396,0.275777,0.7402499,0.2344864,0.0221882,0.9412506,-0.06309175,0.3310204,0,0,0,0,172.1213,194.0015,198.2074,210.8541,203.1719,197.6603,191.4202,220.7689,0,1,0,0,0,-0.0009924485,-0.01263596,0.01924803,0.9997342,1,0,0,0,1,1,1,0,0,0,-6.847252E-09,-3.889755E-08,6.492695E-09,1,1,0,0,0,1,2,1,0,0,0,-7.628564E-09,-3.472003E-08,4.628346E-09,1,1,0,0,0,1
547.9763,-1.868618,0.8474471,2.736768,0.6066309,0.0706629,0.2878678,0.7376571,0.2344864,0.02221873,0.9413241,-0.06322879,0.3307833,0,0,0,0,172.2512,194.147,198.3508,210.9757,203.2699,197.7449,191.4819,220.8274,0,1,0,0,0,0.0007163436,-0.008072416,0.009651825,0.9999205,1,0,0,0,1,1,1,0,0,0,3.113598E-09,3.958536E-08,-1.248099E-09,1,1,0,0,0,1,2,1,0,0,0,2.387916E-09,3.267333E-08,1.32419E-09,1,1,0,0,0,1
548.0256,-1.868618,0.8474471,2.736768,0.6061219,0.06882227,0.3032255,0.7320753,0.2344864,0.02224237,0.9413809,-0.06333511,0.3305994,0,0,0,0,162.7637,183.4634,187.4335,199.3416,192.0472,186.8185,180.8852,208.5972,0,1,0,0,0,0.004653462,-0.01041499,0.01185468,0.9998646,1,0,0,0,1,1,1,0,0,0,-8.797191E-09,-4.634549E-09,-1.427037E-09,1,1,0,0,0,1,2,1,0,0,0,-9.077104E-09,-6.576286E-09,2.295084E-10,1,1,0,0,0,1
548.0766,-1.868618,0.8474471,2.736768,0.6104901,0.07063164,0.3090729,0.725801,0.2344864,0.02226069,0.941425,-0.06341763,0.3304566,0,0,0,0,177.1978,199.7501,204.074,217.0197,209.0669,203.3649,196.8882,227.0388,0,1,0,0,0,0.006847398,-0.0004563967,0.006987061,0.9999521,1,0,0,0,1,1,1,0,0,0,-1.4833E-08,1.082595E-09,-0.000000002,1,1,0,0,0,1,2,1,0,0,0,-1.942248E-08,-3.794774E-08,5.764527E-10,1,1,0,0,0,1
548.1253,-1.868618,0.8474471,2.736768,0.6139547,0.07246482,0.314297,0.7204344,0.2344864,0.02227489,0.9414593,-0.06348166,0.3303458,0,0,0,0,167.6517,189.0003,193.102,205.3482,197.8244,192.4216,186.2814,214.792,0,1,0,0,0,0.005606543,-0.0004126679,0.00631252,0.9999642,1,0,0,0,1,1,1,0,0,0,1.67591E-08,1.438501E-07,-1.066974E-08,1,1,0,0,0,1,2,1,0,0,0,1.666023E-08,1.602838E-07,-1.21404E-08,1,1,0,0,0,1
548.176,-1.868618,0.8474471,2.736768,0.614562,0.07251143,0.3175766,0.7184711,0.2344864,0.02228587,0.9414858,-0.06353132,0.3302597,0,0,0,0,172.4634,194.4327,198.6603,211.2571,203.5177,197.9543,191.6287,220.9461,0,1,0,0,0,0.001871708,-0.001649683,0.002959026,0.9999924,1,0,0,0,1,1,1,0,0,0,4.604324E-09,0.000000018,6.299496E-09,1,1,0,0,0,1,2,1,0,0,0,1.286493E-09,-1.176824E-08,1.458222E-08,1,1,0,0,0,1
548.2254,-1.868618,0.8474471,2.736768,0.61645,0.07253448,0.3216799,0.7150177,0.2344864,0.02229441,0.9415064,-0.0635699,0.3301931,0,0,0,0,167.6908,189.058,193.1712,205.4155,197.8879,192.4749,186.3184,214.8182,0,1,0,0,0,0.003766289,-0.001649767,0.003927226,0.9999837,1,0,0,0,1,1,1,0,0,0,1.858344E-08,-0.000000052,2.231903E-08,1,1,0,0,0,1,2,1,0,0,0,2.14629E-08,-4.273406E-08,0.000000023,1,1,0,0,0,1
